task,sample_id,relative,sha256,split,conflict_evidence,blocked_by_task,blocked_by_split,blocked_by_image,blocked_by_sha256
07,DR_1,task07/ap/images/DR_1.jpg,6b505ae72f04c61269f8fed5285f0600573b2a830a2f0854ab994a7edced2688,train,case_group_connection,09,val,task09/images/DR_1_s3_e12.jpg,d4c05c7c06c47241653c6246a39ceea872fdb1a363f7ff0f5a72432492978608
07,DR_107,task07/ap/images/DR_107.jpg,a21efd2ca9152e1bcca08af842129fe13eb4d2a634de97facba424661121ddbb,train,case_group_connection,09,test,task09/images/DR_107_s3_e13.jpg,1750162b47bd119a0d4cf83be86981c9952cc29b89681dcf3b42de864aa718d8
07,DR_108,task07/ap/images/DR_108.jpg,1398d86ad2b6bed31000834e69fab791e6394df4fbcf65d16fd34e6588848f0f,train,case_group_connection,09,val,task09/images/DR_108_s3_e12.jpg,e33d968c1957bac274e8dc13d5498a87b0352ac4477494ced7d76ac0536553a3
07,DR_111,task07/ap/images/DR_111.jpg,8badde289d63b289256c6897500860ef36b13ba8d0f692942bdda07f33b16237,train,case_group_connection,09,val,task09/images/DR_111_s4_e14.jpg,82bb4403969c31016482623c5fab20067294c0418d9dd6033ce83b9541067bc2
07,DR_112,task07/ap/images/DR_112.jpg,db6c1af8264643b5cd27d473bba9e964df017e73240700598ade67e90702f42b,train,case_group_connection,09,test,task09/images/DR_112_s1_e12.jpg,17a300d5f254770cd03469fed99369788eb684ab5cd26161ffbb31d3fca8ca6d
07,DR_114,task07/ap/images/DR_114.jpg,41d51ab2ee30d2188742788aaa923df64495f20fbe44def981db39b510fca739,train,case_group_connection,09,test,task09/images/DR_114_s3_e12.jpg,d018c41dff310b3f142a184ce786fa7a667fdcc2725193b5653291c5fbe24157
07,DR_116,task07/ap/images/DR_116.jpg,1f6deffe4cbfae0e1dd8107cd8bce14066fe9b0f8a68abe208c76e660a15bfd4,train,case_group_connection,09,val,task09/images/DR_116_s4_e14.jpg,745037159429dd39e678fecbcf763228b70f45679acfcad3d9a6e8f368347c3e
07,DR_117,task07/ap/images/DR_117.jpg,4b3aca66e8bf75a2fca0a9f2b68bcb4799fa2b5d2f8a8fd54228408dd8217d12,train,case_group_connection,09,val,task09/images/DR_117_s1_e12.jpg,15baeda5f5a3743b0386fbf1c32cecd080e531336bb1017439ecb768a7f0781e
07,DR_119,task07/ap/images/DR_119.jpg,cd5b6114c346ab8bb5a5e887015fd90d063ff59bc6d7088a49161d1017b7ef88,train,case_group_connection,09,test,task09/images/DR_119_s2_e14.jpg,6aee1781674c5e929b9af664f4b26fcb0b0d6438f897394c62c382828b7f9172
07,DR_124,task07/ap/images/DR_124.jpg,a6208a7a3404d9f4d321a72ad396216ef55167bc3548b85eb1266ff5845643a9,train,case_group_connection,09,val,task09/images/DR_124_s4_e13.jpg,97a7d6840c2e89113e55647351f9d2735325b83be650973116c105670c7fe3ff
