line,task,label,matched_split,run,reported,correct_test
7,7,dinov2_linear,test,task07_keypoint_linear/dinov2,"[0.02821, 0.03311, 18.16378, 18.55324]","[0.02821768599397996, 0.03311250009957482, 18.16378455666935, 18.55324920654297]"
8,7,dinov2_lora,test,task07_keypoint_lora/dinov2,"[0.01537, 0.021962, 9.96399, 12.32149]","[0.015373468819786521, 0.02196221825392807, 9.96399076573989, 12.321495166105382]"
9,7,rad-dino_linear,test,task07_keypoint_linear/rad_dino,"[0.01791, 0.02496, 11.18224, 14.18533]","[0.017919375177691963, 0.0249677092888776, 11.182249908447266, 14.185331286262063]"
10,7,rad-dino_20k_linear,test,task07_keypoint_linear/spine_rad_dino_teacher_20k,"[0.01835, 0.02431, 11.39775, 13.7768]","[0.018353288191206314, 0.02431022444192101, 11.39775349336512, 13.77680060891544]"
11,7,rad-dino_lora,test,task07_keypoint_lora/rad_dino,"[0.01327, 0.02066, 8.56365, 11.92829]","[0.013273348063230515, 0.020669278305243042, 8.56365088967716, 11.928299645816578]"
12,7,maira2_linear,test,task07_keypoint_linear/rad_dino_maira2,"[0.01932, 0.02568, 11.77726, 14.49194]","[0.0193277108669281, 0.025682801271186155, 11.77726329130285, 14.491949759090648]"
13,7,maira2_20k_linear,test,task07_keypoint_linear/spine_rad_dino_maira2_teacher_20k,"[0.01989, 0.0255, 12.17669, 14.43928]","[0.01989983400877784, 0.025504411458969117, 12.176697531307445, 14.439284829532399]"
14,7,maira2_lora,test,task07_keypoint_lora/rad_dino_maira2,"[0.01053, 0.0182, 6.58434, 10.44486]","[0.01053175897720982, 0.018207300178268375, 6.584341291539809, 10.444866254469927]"
15,7,dinov3_linear,test,task07_keypoint_linear/dinov3,"[0.02229, 0.02882, 13.52123, 15.94238]","[0.022296391760601716, 0.028821261910831227, 13.521232425465303, 15.94238821590648]"
16,7,dinov3_20k_linear,test,task07_keypoint_linear/spine_dinov3_teacher_20k,"[0.02191, 0.025671, 14.34661, 14.5214]","[0.02191957622766495, 0.025671010560849132, 14.346612512925091, 14.521401636460249]"
17,7,dinov3_lora,test,task07_keypoint_lora/dinov3,"[0.01398, 0.0204, 9.14191, 11.51372]","[0.013985775218290442, 0.020402896040502716, 9.14191977108226, 11.513728319055893]"
24,8,dinov2_linear,test,task08_keypoint_linear/dinov2,"[19.10359, 15.35078, 2.99886, 5.63938, 9.26065, 13.31572]","[19.10359024398959, 15.350780525912613, 2.998868351565447, 5.6393813655224445, 9.26065635609204, 13.315729913240286]"
25,8,dinov2_lora,test,task08_keypoint_lora/dinov2,"[7.16307, 5.78896, 34.3078, 52.33874, 64.37193, 71.76537]","[7.1630757654536135, 5.788961289649368, 34.307808374198416, 52.3387400980762, 64.37193511882309, 71.76537155790268]"
26,8,rad-dino_linear,test,task08_keypoint_linear/rad_dino,"[16.57646, 13.38341, 3.79102, 7.82723, 12.67446, 18.97397]","[16.576465280044307, 13.383415012079022, 3.791022255752546, 7.827235005658242, 12.674462466993587, 18.973972086005283]"
27,8,rad-dino_20k_linear,test,task08_keypoint_linear/spine_rad_dino_teacher_20k,"[14.55198, 11.78134, 5.46963, 11.01471, 17.67257, 24.33044]","[14.5519800923627, 11.781349783616442, 5.469634100339494, 11.01471142964919, 17.67257638626933, 24.330441342889475]"
28,8,rad_dino_lora,test,task08_keypoint_lora/rad_dino,"[7.27726, 5.83852, 26.29196, 44.85099, 59.31723, 69.59637]","[7.277262572206133, 5.8385230977775375, 26.291965296114675, 44.85099962278385, 59.31723877781969, 69.59637872500943]"
29,8,maira2_linear,test,task08_keypoint_linear/rad_dino_maira2,"[15.0743, 12.18495, 4.26254, 9.03432, 14.65484, 21.93511]","[15.074300391140726, 12.184952070019643, 4.262542436816296, 9.034326669181441, 14.654847227461335, 21.935118823085627]"
30,8,maira2_20k_linear,test,task08_keypoint_linear/spine_rad_dino_maira2_teacher_20k,"[13.60726, 11.07029, 5.7714, 12.12749, 19.70954, 27.49905]","[13.607267214999204, 11.070293957491904, 5.771407016220294, 12.127499056959637, 19.70954356846473, 27.499056959637873]"
31,8,maira2_lora,test,task08_keypoint_lora/rad_dino_maira2,"[5.85513, 4.69481, 47.24632, 68.57789, 80.04526, 86.1373]","[5.8551399061159115, 4.694816525321508, 47.2463221425877, 68.57789513391174, 80.04526593738213, 86.13730667672576]"
32,8,dinov3_linear,test,task08_keypoint_linear/dinov3,"[16.12292, 12.95358, 3.60241, 7.12938, 12.29724, 18.57789]","[16.122924465091668, 12.953580023881761, 3.6024141833270464, 7.129385137683893, 12.297246322142588, 18.57789513391173]"
33,8,dinov3_20k_linear,test,task08_keypoint_linear/spine_dinov3_teacher_20k,"[14.24095, 11.65638, 5.22444, 10.61863, 17.44624, 24.50018]","[14.240957253656491, 11.6563806407904, 5.224443606186345, 10.61863447755564, 17.44624669935873, 24.500188608072424]"
34,8,dinov3_lora,test,task08_keypoint_lora/dinov3,"[7.63258, 6.16938, 26.44285, 46.09581, 59.73217, 70.14334]","[7.632584049853682, 6.169382939290119, 26.442851754055074, 46.095812900792154, 59.73217653715579, 70.14334213504338]"
41,9,dinov2_linear,test,task09_linear/dinov2_100ep,"[79.84063, 38.40579]","[79.8406374501992, 38.405797101449274]"
42,9,dinov2_lora,test,task09_lora/dinov2,"[94.82071, 81.15942]","[94.8207171314741, 81.15942028985508]"
