model,checkpoint,weight_path,steps_in_filename,global_batch,approx_data_passes,elements,exact_changed_percent,reference_l2,delta_l2,relative_l2_percent,cosine,norm_ratio,mean_abs_delta,rms_delta,max_abs_delta
DINOv2,teacher_training_75712.pth,weights/pretrained/dinov2_vitb14_lvd142m_100pass_plan/teacher_training_75712.pth,75712,8,9.99993396070662,86580480,99.99999884500525,675.9801093099221,102.7159404821369,15.195112854281323,0.9884985173639822,1.0032790551155386,0.008136112933607153,0.011038952189025158,1.5887961387634277
DINOv2,teacher_training_151424.pth,weights/pretrained/dinov2_vitb14_lvd142m_100pass_plan/teacher_training_151424.pth,151424,8,19.99986792141324,86580480,99.9999976900105,675.9801093099221,136.39884669852285,20.177937903789264,0.9797283939111785,1.0038664062712543,0.010708960747910007,0.014658877096150609,3.3325535655021667
DINOv2,teacher_training_229999.pth,weights/pretrained/dinov2_vitb14_lvd142m_100pass_plan/teacher_training_229999.pth,229999,8,30.377942876011225,86580480,99.99999653501574,675.9801093099221,151.519052235139,22.414720514456857,0.974913824524977,1.0013512000384184,0.011769474781083982,0.016283855899084963,4.970531165599823
DINOv2,teacher_training_299999.pth,weights/pretrained/dinov2_vitb14_lvd142m_100pass_plan/teacher_training_299999.pth,299999,8,39.623443949149745,86580480,99.99999653501574,675.9801093099221,156.06766096362566,23.087611427346307,0.9732833097171908,0.9974531486918843,0.011927195470204984,0.016772697981868392,6.379454791545868
DINOv2,teacher_training_378562.pth,weights/pretrained/dinov2_vitb14_lvd142m_100pass_plan/teacher_training_378562.pth,378562,8,49.99993396070662,86580480,99.99999884500525,675.9801093099221,156.9224606175708,23.214064801073206,0.9728954342728511,0.993262232936408,0.01169065666632015,0.01686456388376058,7.811446845531464
RAD-DINO,spine_rad_dino_vitb14_teacher_20000.pth,weights/pretrained/spine_rad_dino_vitb14_teacher_20000.pth,20000,4,1.3207858675912167,86580480,99.99995495520469,783.0660020094788,33.40904680878301,4.2664407244152835,0.9991374389062356,0.9893459390412255,0.0026118864513482534,0.003590493049783217,0.14457333087921143
RAD-DINO,teacher_training_75712.pth,weights/pretrained/rad_dino_init_rad_crops_100pass_plan/teacher_training_75712.pth,75712,8,9.99993396070662,86580480,99.99998729505774,783.0660020094788,132.58234388832693,16.93118377609274,0.9859816933566181,0.9572345536664391,0.010340687263980719,0.014248714935795765,0.7195189595222473
RAD-DINO,teacher_training_151424.pth,weights/pretrained/rad_dino_init_rad_crops_100pass_plan/teacher_training_151424.pth,151424,8,19.99986792141324,86580480,99.99999422502624,783.0660020094788,195.1973247864499,24.927314464622498,0.969704491786665,0.9200667840127151,0.015156377898581009,0.020977989644343158,0.9122140258550644
RAD-DINO,teacher_training_227137.pth,weights/pretrained/rad_dino_init_rad_crops_100pass_plan/teacher_training_227137.pth,227137,8,29.99993396070662,86580480,99.99999884500525,783.0660020094788,246.75593970730998,31.51151232132321,0.951224575048437,0.8869927055927691,0.0191503188122179,0.026519029159458276,1.3485851287841797
MAIRA-2,spine_rad_dino_maira2_vitb14_teacher_20000.pth,weights/pretrained/spine_rad_dino_maira2_vitb14_teacher_20000.pth,20000,4,1.3207858675912167,86580480,99.99997228012596,655.1662140795958,22.594857487919484,3.4487214087590985,0.9994051835689727,0.9997033111510938,0.0017989575940187544,0.002428284746809644,0.0509095024317503
